;;;;;;;;;;;;;;;;;;;;;
Base articles - Vente produits;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Classification article;;;Article;;;;;;Visible dans les outils;;Tarification;;;;;;Unité de mesure article;;;;
Catalogue;Famille;Sous-famille;Code;"Libellé court
(JDE, BL)";"Libellé commercial
(Devis, rapport, facture, OCW, UNITEC)";Statut article;Statut Stock;Article soumis à restriction client;OCW;UNITEC;Famille;Sous-famille;Code sous-Famille;"Tarif de référence
(pour unité de mesure principale)";Code de regroupement;Libellé code regroupement;Unité de mesure principale;Unité de mesure d'appro;Unité de mesure par défaut en nomenclature de pièces détachées;Conversion unité de mesure appro;Conversion unité de mesure nomenclature
CATEGORIE_ARTICLE;FAMILLE_ARTICLE;SOUS_FAMILLE_ARTICLE;CODE;LIBELLE;LIBELLE_COMMERCIAL;STATUT_ARTICLE;STATUT_STOCK;Art_sous_restriction;OCW;UNITEC;LIB_FAMILLE_TARIFAIRE;LIB_SOUS_FAMILLE_TARIFAIRE;SOUS_FAMILLE_TARIFAIRE;TARIF_REF_UM_PRIN;CODE_REGROUPEMENT;LIBELLE_REGROUPEMENT;UM_PRINCIPAL;UM_APPRO;UM_DEFAUT_BOM;CONV_UM_APPRO;CONV_UM_BOM
Catalogue produits;Alimentation;AES;428512000159;VARIATION 24V 450W VERS.CAB V2; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   2567,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000160;VARIATION 48V 225W VERS.CAB V2; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   2170,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000161;VARIATION 24V 225W RACK V2; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   2615,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000162;VARIATION 24V 450W RACK V2; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   3121,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000163;VARIATION 48V 225W RACK V2; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   2641,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000164;MOD VARIATION 24-225 SS BAT V2; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   1542,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000165;MOD VARIATION 24-450 SS BAT V2; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   2038,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000166;MOD VARIATION 48-225 SS BAT V2; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   1628,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000167;MOD VARIATION 48-450 SS BAT V2; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   2237,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000168;VARIATION 48V 450W COF.90 V2; ;Article ouvert;Article stocké Pierrelaye (Fab. Acquigny); ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   4315,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000169;VARIATION 48V 450W RACK V2; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   3327,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000200;VAR 24V 225W COF38 1 DCDC 2,8A; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   3354,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000201;VAR 24V 225W COF38 2 DCDC 2,8A; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   3830,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000202;VAR 24V 225W COF38 2 DCDC 6A; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   5146,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000203;VAR 24V 450W COF38 2 DCDC 6A; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   5658,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000204;VAR 24V 450W COF90 2 DCDC 6A; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   6503,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000205;VAR 48V 450W COF90 2 DCDC 3A; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   6718,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000300;AES 28V 8A C85 SB C;AES boostée SLAT 28V 8A C85 sans batterie;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   3872,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000301;AES 56V 4A C85 SB C;AES boostée SLAT 56V 4A C85 sans batterie;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   4010,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;4287650607;ALIM 940 48V 8A PFC SLAT; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   4393,00;; ;Unité;Unité;Unité; ; 
